,key,street,city,state,full_address,long,lat
67,1608722,399 WESLEY DR,WOOD RIVER,IL,399 WESLEY DR WOOD RIVER IL,-90.0665864,38.8658569
68,1608723,531 ANWIJO WAY,WARRENTON,MO,531 ANWIJO WAY WARRENTON MO,-91.1383755,38.8247444
69,1608743,7369 WATSON RD,SHREWSBURY,MO,7369 WATSON RD SHREWSBURY MO,-90.3244258,38.5811526
70,1608794,150 CROSSROADS DR,WENTZVILLE,MO,150 CROSSROADS DR WENTZVILLE MO,-90.8772708,38.8109732
71,1608803,10680 ST. CHARLES ROCK RD,ST. ANN,MO,10680 ST. CHARLES ROCK RD ST. ANN MO,-90.39050759999999,38.7318327
72,1608948,5925 N ILLINOIS ST,FAIRVIEW HEIGHTS,IL,5925 N ILLINOIS ST FAIRVIEW HEIGHTS IL,-89.9875033,38.5862236
73,1608970,1125 S KIRKWOOD RD,KIRKWOOD,MO,1125 S KIRKWOOD RD KIRKWOOD MO,-90.40832119999999,38.5652975
74,1608971,15907 MANCHESTER RD,ELLISVILLE,MO,15907 MANCHESTER RD ELLISVILLE MO,-90.5874169,38.5943091
75,4000,550 E INDUSTRIAL PARK,MURPHYSBORO,IL,550 E INDUSTRIAL PARK MURPHYSBORO IL,-89.32440729999999,37.7879379
76,4002,456 E ST LOUIS ST,NASHVILLE,IL,456 E ST LOUIS ST NASHVILLE IL,-89.3793615,38.343009
77,4003,1704 WEST DE YOUNG ST,MARION,IL,1704 WEST DE YOUNG ST MARION IL,-88.9455763,37.7423241
78,4010,10 W FRANKFORT PLAZA,W FRANKFORT,IL,10 W FRANKFORT PLAZA W FRANKFORT IL,-88.94939169999999,37.8957082
79,4011,US HWY 45 NORTH,HARRISBURG,IL,US HWY 45 NORTH HARRISBURG IL,-88.53318759999999,37.73701399999999
80,4012,1609 S PARK AVE,HERRIN,IL,1609 S PARK AVE HERRIN IL,-89.0288944,37.7883165
81,4013,501 N GIANT CITY RD,CARBONDALE,IL,501 N GIANT CITY RD CARBONDALE IL,-89.1839905,37.731254
82,4014,604 EAST BOONESLICK RD,WARRENTON,MO,604 EAST BOONESLICK RD WARRENTON MO,-91.14028789999999,38.8110816
83,4015,1 TROY SQUARE,TROY,MO,1 TROY SQUARE TROY MO,-90.97601790000002,38.9884168
84,1608453,1703 NORTH BELT WEST,BELLEVILLLE,IL,1703 NORTH BELT WEST BELLEVILLLE IL,-90.00267149999999,38.5420489
85,1608475,3801 NAMEOKI RD,GRANITE CITY,IL,3801 NAMEOKI RD GRANITE CITY IL,-90.1265542,38.7287315
86,1608500,2675 NORTHTOWN WAY,HIGHLAND,IL,2675 NORTHTOWN WAY HIGHLAND IL,-89.682802,38.7530374
87,1608504,1984 VANDALIA ST,COLLINSVILLE,IL,1984 VANDALIA ST COLLINSVILLE IL,-89.96696399999999,38.6955038
88,1608526,11050 ST. CHARLES ROCK RD,ST. ANN,MO,11050 ST. CHARLES ROCK RD ST. ANN MO,-90.39478849999999,38.7343231
89,1608545,2700 SOUTH GRAND ,ST. LOUIS,MO,2700 SOUTH GRAND  ST. LOUIS MO,-90.2405173,38.6072411
90,1608565,5771 GODFREY RD,GODFREY,IL,5771 GODFREY RD GODFREY IL,-90.189509,38.9499876
91,1608725,2458 WEST CLAY,SAINT CHARLES,MO,2458 WEST CLAY SAINT CHARLES MO,-90.51204949999999,38.7852637
92,1608726,10009 BELLEFONTAINE ,ST. LOUIS,MO,10009 BELLEFONTAINE  ST. LOUIS MO,-90.2254804,38.750322
93,1608836,10850 LINCOLN TRAIL ,FAIRVIEW HEIGHTS ,IL,10850 LINCOLN TRAIL  FAIRVIEW HEIGHTS  IL,-89.98848710000001,38.5911849
94,100234,2341 NORTH LINDBERGH,FLORISSANT,MO,2341 NORTH LINDBERGH FLORISSANT MO,-90.40916089999999,38.7018402
95,100422,4250 RUSTY ROAD,ST LOUIS,MO,4250 RUSTY ROAD ST LOUIS MO,-90.3396877,38.5063452
96,1004255,4255 HAMPTON AVE,ST LOUIS,MO,4255 HAMPTON AVE ST LOUIS MO,-90.2957302,38.5926115
97,100699,3849 VOGEL ROAD,ARNOLD,MO,3849 VOGEL ROAD ARNOLD MO,-90.39676349999999,38.4121723
98,10420,1042 SOUTH KIRKWOOD,KIRKWOOD,MO,1042 SOUTH KIRKWOOD KIRKWOOD MO,-90.4041247,38.5649019
99,106241,6241 MID-RIVERS MALL DRIVE,SAINT PETERS,MO,6241 MID-RIVERS MALL DRIVE SAINT PETERS MO,-90.63670429999999,38.7386917
100,12723,1272 TOWN & COUNTRY CROSSINGS,TOWN & COUNTRY,MO,1272 TOWN & COUNTRY CROSSINGS TOWN & COUNTRY MO,-90.51690889999999,38.620022
101,15025,15025 MANCHESTER ROAD,BALLWIN,MO,15025 MANCHESTER ROAD BALLWIN MO,-90.547351,38.5949945
102,18383,1883 WENTZVILLE PARKWAY,WENTZVILLE,MO,1883 WENTZVILLE PARKWAY WENTZVILLE MO,-90.8809211,38.8195256
103,18571,1851 VERNACI DRIVE,WASHINGTON,MO,1851 VERNACI DRIVE WASHINGTON MO,-90.9837099,38.5365387
104,197005,197 GRAVOIS BLUFF PLAZA DR,FENTON,MO,197 GRAVOIS BLUFF PLAZA DR FENTON MO,-90.44669909999999,38.50648
105,222222,300 HOMER M ADAMS PKWY,ALTON,IL,300 HOMER M ADAMS PKWY ALTON IL,-90.17043919999999,38.9218284
106,23004,2300 HIGHWAY K,O'FALLON,MO,2300 HIGHWAY K O'FALLON MO,-90.696137,38.7771213
107,23501,2350 TROY ROAD,EDWARDSVILLE,IL,2350 TROY ROAD EDWARDSVILLE IL,-89.94852949999999,38.7830994
108,250366,25 BRENTWOOD PROMENADE,BRENTWOOD,MO,25 BRENTWOOD PROMENADE BRENTWOOD MO,-90.3431869,38.6280595
109,291066,12275 ST CHARLES ROCK ROAD,BRIDGETON,MO,12275 ST CHARLES ROCK ROAD BRIDGETON MO,-90.42562710000001,38.7538807
110,34000,3400 GREEN N MOUNT CROSSING DR,SHILOH,IL,3400 GREEN N MOUNT CROSSING DR SHILOH IL,-89.9233613,38.57306610000001
111,400000,40 THF BLVD,CHESTERFIELD,MO,40 THF BLVD CHESTERFIELD MO,-90.5852448,38.6663961
112,445566,3000 DEYOUNG ST,MARION,IL,3000 DEYOUNG ST MARION IL,-88.9799713,37.7490748
113,47012,4701 NORTH ILLINOIS STREET,FAIRVIEW HEIGHTS,IL,4701 NORTH ILLINOIS STREET FAIRVIEW HEIGHTS IL,-89.98746679999999,38.5726503
114,560123,5601 BELLEVILLE CROSSING,BELLEVILLE,IL,5601 BELLEVILLE CROSSING BELLEVILLE IL,-90.031924,38.5262053
115,567444,3881 MEXICO ROAD,ST CHARLES,MO,3881 MEXICO ROAD ST CHARLES MO,-90.5622786,38.7873229
116,79555,7955 HWY N,DARDENNE PRAIRIE,MO,7955 HWY N DARDENNE PRAIRIE MO,-90.7688797,38.7688176
117,1608474,6569 NORTH ILLINOIS ST,FAIRVIEW HEIGHTS,IL,6569 NORTH ILLINOIS ST FAIRVIEW HEIGHTS IL,-89.9875397,38.5942187
118,1608601,2235 HIGHWAY K,O'FALLON,MO,2235 HIGHWAY K O'FALLON MO,-90.7029603,38.7793699
119,1608602,13957 MANCHESTER RD,TOWN & COUNTRY,MO,13957 MANCHESTER RD TOWN & COUNTRY MO,-90.4877424,38.597934
120,1608786,1018 NORTH KIRKWOOD,KIRKWOOD,MO,1018 NORTH KIRKWOOD KIRKWOOD MO,-90.4058179,38.5992581
121,1608821,9920 LIN FERRY DR,SAINT LOUIS,MO,9920 LIN FERRY DR SAINT LOUIS MO,-90.3522211,38.5238353
122,1608883,3600 SOUTH ST. PETERS PKWY,SAINT CHARLES,MO,3600 SOUTH ST. PETERS PKWY SAINT CHARLES MO,-90.5846805,38.7465704
123,1608663,301 HIGHLANDS BLVD DR,MANCHESTER,MO,301 HIGHLANDS BLVD DR MANCHESTER MO,-90.50669429999999,38.5979496
124,1608894,200 COSTCO WAY,ST. PETERS,MO,200 COSTCO WAY ST. PETERS MO,-90.607687,38.7964154
125,420001,4200 RUSTY ROAD,St Louis,MO,4200 RUSTY ROAD St Louis MO,-90.3386996,38.508066
126,102356,10248 BIG BEND BLVD,CRESTWOOD,MO,10248 BIG BEND BLVD CRESTWOOD MO,-90.39632189999999,38.5654206
127,130550,196 THF Blvd,Chesterfield,MO,196 THF Blvd Chesterfield MO,-90.5969286,38.6656177
128,147832,10735 W FLORISSANT,FERGUSON,MO,10735 W FLORISSANT FERGUSON MO,-90.284016,38.7649412
129,159886,2100 MAPLEWOOD COM.moN DRIVE,MAPLEWOOD,MO,2100 MAPLEWOOD COM.moN DRIVE MAPLEWOOD MO,-90.33136549999999,38.6205076
130,226547,1350 W HWY 50,O'FALLON,IL,1350 W HWY 50 O'FALLON IL,-89.9505721,38.594455
131,5569866,4512 LEMAY FERRY ROAD,St Louis,MO,4512 LEMAY FERRY ROAD St Louis MO,-90.3351491,38.4973261
132,631314,13455 MANCHESTER ROAD,ST LOUIS,MO,13455 MANCHESTER ROAD ST LOUIS MO,-90.4710194,38.5996224
133,631569,2855 SOUTH SERVICE ROAD,St Charles,MO,2855 SOUTH SERVICE ROAD St Charles MO,-90.5269515,38.7841874
134,631636,2709 WALTON WAY,Marion,IL,2709 WALTON WAY Marion IL,-88.9689418,37.7403449
135,6338555,3055 BEAR CREEK DR,WENTZVILLE,MO,3055 BEAR CREEK DR WENTZVILLE MO,-90.88166609999999,38.8147809
136,66223344,5 ILLINI DR,GLEN CARBON,IL,5 ILLINI DR GLEN CARBON IL,-89.9539277,38.7806489
137,1000000,400 NORTHWEST PLAZA DR,ST. ANN,MO,400 NORTHWEST PLAZA DR ST. ANN MO,-90.3994238,38.7331444
138,10000421,6840 PAGE,ST LOUIS,MO,6840 PAGE ST LOUIS MO,-90.3104455,38.67459400000001
139,1000404,3427 S JEFFERSON,ST LOUIS,MO,3427 S JEFFERSON ST LOUIS MO,-90.22618039999999,38.5921968
140,1000405,3160 TELEGRAPH RD,ST LOUIS,MO,3160 TELEGRAPH RD ST LOUIS MO,-90.3000067,38.4983224
141,1000407,2980 HOMER ADAMS,ALTON,IL,2980 HOMER ADAMS ALTON IL,-90.1432356,38.9154195
142,1000408,3102 WEST CLAY,ST CHARLES,MO,3102 WEST CLAY ST CHARLES MO,-90.5375054,38.78877430000001
143,1000409,12590 NEW HALLS FERRY,FLORISSANT,MO,12590 NEW HALLS FERRY FLORISSANT MO,-90.283104,38.7894532
144,1000411,8960 RIVERVIEW BLVD,ST LOUIS,MO,8960 RIVERVIEW BLVD ST LOUIS MO,-90.239785,38.7207812
145,1000412,2600 STATE ST,EAST ST LOUIS,IL,2600 STATE ST EAST ST LOUIS IL,-90.1264668,38.6146471
146,1000413,91 NORTH OAKS,ST LOUIS,MO,91 NORTH OAKS ST LOUIS MO,-90.28937409999999,38.7013531
147,1000414,715 PEARCE,WENTZVILLE,MO,715 PEARCE WENTZVILLE MO,-90.86386429999999,38.8107458
148,1000416,3645 PAGE,ST LOUIS,MO,3645 PAGE ST LOUIS MO,-90.2287534,38.6468217
149,1000417,4515 W MAIN,BELLEVILLE,IL,4515 W MAIN BELLEVILLE IL,-90.02291989999999,38.5410213
150,1000419,468 NORTH LINDBERGH BLVD,ST LOUIS,MO,468 NORTH LINDBERGH BLVD ST LOUIS MO,-90.40460829999999,38.6640612
151,1000420,3254 NAMEOKI ROAD,GRANITE CITY,IL,3254 NAMEOKI ROAD GRANITE CITY IL,-90.1218694,38.7221215
152,1000422,4447 NATURAL BRIDGE,ST LOUIS,MO,4447 NATURAL BRIDGE ST LOUIS MO,-90.23729999999999,38.6708729
153,1000424,1601 JEFFERSON AVE,ST LOUIS,MO,1601 JEFFERSON AVE ST LOUIS MO,-90.2129262,38.6466235
154,1000427,9430 MIDLAND BLVD,OVERLAND,MO,9430 MIDLAND BLVD OVERLAND MO,-90.3628464,38.7058968
155,1000864,5437 SOUTHWEST AVE,ST LOUIS,MO,5437 SOUTHWEST AVE ST LOUIS MO,-90.27975939999999,38.6105294
156,1608476,18249 Quarry Road,Warrenton,MO,18249 Quarry Road Warrenton MO,-91.11107799999999,38.7478928
157,1608613,1501 SOUTH FLORISSANT RD,COOL VALLEY,MO,1501 SOUTH FLORISSANT RD COOL VALLEY MO,-90.3042368,38.7257098
158,1608759,8000 ST. CHARLES ROCK RD,OVERLAND,MO,8000 ST. CHARLES ROCK RD OVERLAND MO,-90.32912560000001,38.6988291
159,1608876,4025 LAKEFRONT CT,EARTH CITY,MO,4025 LAKEFRONT CT EARTH CITY MO,-90.4677111,38.7648807
160,1609046,1331 UNION BLVD,ST. LOUIS,MO,1331 UNION BLVD ST. LOUIS MO,-90.2718276,38.661972
161,34671,4625 CROSSROADS INDUSTRIAL DR,BRIDGETON,MO,4625 CROSSROADS INDUSTRIAL DR BRIDGETON MO,-90.45296979999999,38.7757609
162,400004,29 GATEWAY COMMERCE CENTER DR,Edwardsville,IL,29 GATEWAY COMMERCE CENTER DR Edwardsville IL,-90.0749687,38.7711489
163,16473,1202 S KIRKWOOD RD,KIRKWOOD,MO,1202 S KIRKWOOD RD KIRKWOOD MO,-90.4027996,38.56277360000001
164,1001021,500 WARREN COUNTY CENTER,WARRENTON,MO,500 WARREN COUNTY CENTER WARRENTON MO,-91.1420265,38.8232879
165,1001188,11900 ST CHARLES ROCK RD,BRIDGETON,MO,11900 ST CHARLES ROCK RD BRIDGETON MO,-90.4187038,38.7449076
166,1001265,10741 WEST FLORISSANT AVE,ST LOUIS,MO,10741 WEST FLORISSANT AVE ST LOUIS MO,-90.28357559999999,38.7660872
167,100145,3 TOWN CENTER DRIVE,BOWLING GREEN,MO,3 TOWN CENTER DRIVE BOWLING GREEN MO,-91.1820122,39.3311236
168,100152,12862 STATE ROAD 21,DESOTO,MO,12862 STATE ROAD 21 DESOTO MO,-90.57533169999999,38.1500208
169,100172,1701 A TROY DRIVE,WASHINGTON,MO,1701 A TROY DRIVE WASHINGTON MO,-90.9949143,38.54087550000001
170,100173,1 MEMORIAL DRIVE,POTOSI,MO,1 MEMORIAL DRIVE POTOSI MO,-90.7715544,37.9237851
171,100196,1450 EAST MAIN,CARBONDALE,IL,1450 EAST MAIN CARBONDALE IL,-89.1869656,37.7385821
172,1002213,3270 TELEGRAPH ROAD,ST LOUIS,MO,3270 TELEGRAPH ROAD ST LOUIS MO,-90.2963576,38.4947943
173,100243,1971 WENTZVILLE PKWY,WENTZVILLE,MO,1971 WENTZVILLE PKWY WENTZVILLE MO,-90.87913309999999,38.8143096
174,1002600,100 THF BLVD,CHESTERFIELD,MO,100 THF BLVD CHESTERFIELD MO,-90.5917599,38.6659413
175,100262,919 GIACONE DRIVE,BENTON,IL,919 GIACONE DRIVE BENTON IL,-88.9367473,38.000975
176,100295,131 EUREKA TWIN CENTER DR,EUREKA,MO,131 EUREKA TWIN CENTER DR EUREKA MO,-90.6565466,38.5061022
177,100313,2700 RIDGE POINT DR,HIGH RIDGE,MO,2700 RIDGE POINT DR HIGH RIDGE MO,-90.52179489999999,38.4619844
178,100354,1888 HWY 28 EAST,OWENSVILLE,MO,1888 HWY 28 EAST OWENSVILLE MO,-91.48169469999999,38.3531785
179,10037,101 HWY 47 EAST,TROY,MO,101 HWY 47 EAST TROY MO,-90.9819174,38.9886119
180,100377,701 WALTON DRIVE,FARMINGTON,MO,701 WALTON DRIVE FARMINGTON MO,-90.4353239,37.7894861
181,100436,2591 12TH STREET,CARLYLE,IL,2591 12TH STREET CARLYLE IL,-89.3767706,38.62953600000001
182,1004695,6660 GODFREY RD,GODFREY,IL,6660 GODFREY RD GODFREY IL,-90.19457899999999,38.9646885
183,1005313,6100 RONALD REAGAN DRIVE,LAKE ST LOUIS,MO,6100 RONALD REAGAN DRIVE LAKE ST LOUIS MO,-90.786594,38.7718829
184,100648,1661 JUNGERMAN ROAD,ST PETERS,MO,1661 JUNGERMAN ROAD ST PETERS MO,-90.5887482,38.7448322
185,10065,350 PARKRIDGE ROAD,SULLIVAN,MO,350 PARKRIDGE ROAD SULLIVAN MO,-91.1546463,38.2207758
186,100653,653 GRAVOIS BLUFF BLVD,FENTON,MO,653 GRAVOIS BLUFF BLVD FENTON MO,-90.4388905,38.5093152
187,10069,650 SOUTH TRUMAN BLVD,FESTUS,MO,650 SOUTH TRUMAN BLVD FESTUS MO,-90.3886678,38.2121024
188,10095,407 NORTH STATE STREET,DESLOGE,MO,407 NORTH STATE STREET DESLOGE MO,-90.5132306,37.8837689
189,101071,610 WESLEY HIGHWAY 50,WOOD RIVER,IL,610 WESLEY HIGHWAY 50 WOOD RIVER IL,-90.070359,38.870207
190,101418,1530 WEST HIGHWAY 50,O'FALLON,IL,1530 WEST HIGHWAY 50 O'FALLON IL,-89.953982,38.5947949
191,101514,2201 MICHIGAN AVE,ARNOLD,MO,2201 MICHIGAN AVE ARNOLD MO,-90.37904739999999,38.4365381
192,10201,2608 GREEN MOUNT COMMONS  DR,BELLEVILLE,IL,2608 GREEN MOUNT COMMONS  DR BELLEVILLE IL,-89.9230192,38.5219637
193,10253,1316 SOUTH STATE STREET,JERSEYVILLE,IL,1316 SOUTH STATE STREET JERSEYVILLE IL,-90.31867299999999,39.1035161
194,10256,400 JUNCTION DR,GLEN CARBON,IL,400 JUNCTION DR GLEN CARBON IL,-89.9524688,38.7757424
195,102616,1307 HIGHWAY K,O'FALLON,MO,1307 HIGHWAY K O'FALLON MO,-90.7025153,38.7939242
196,10328,961 NORTH MARKET STREET,WATERLOO,IL,961 NORTH MARKET STREET WATERLOO IL,-90.1572007,38.3589877
197,10361,1040 COLLINSVILLE CROSSING,COLLINSVILLE,IL,1040 COLLINSVILLE CROSSING COLLINSVILLE IL,-90.0181088,38.6752208
198,104216,2802 OUTER ROAD DRIVE,MARION,IL,2802 OUTER ROAD DRIVE MARION IL,-88.9716035,37.7481988
